"corp","StayID","room_use","date_occupied"
"B",1,"economy_room",2016-07-09
"B",1,"economy_room",2016-07-10
"B",1,"economy_room",2016-07-11
"B",1,"economy_room",2016-07-12
"A",2,"single_room",2016-01-31
"A",2,"single_room",2016-02-01
"A",2,"single_room",2016-02-02
"A",2,"single_room",2016-02-03
"A",2,"single_room",2016-02-04
"C",3,"single_room",2015-12-08
"C",3,"single_room",2015-12-09
"C",3,"single_room",2015-12-10
"C",3,"single_room",2015-12-11
"C",3,"single_room",2015-12-12
"A",4,"suite_room",2019-09-15
"A",4,"suite_room",2019-09-16
"A",4,"suite_room",2019-09-17
"A",4,"suite_room",2019-09-18
"E",5,"single_room",2016-12-08
"E",5,"single_room",2016-12-09
"E",5,"single_room",2016-12-10
"B",6,"economy_room",2020-10-28
"B",6,"economy_room",2020-10-29
"B",6,"economy_room",2020-10-30
"B",6,"economy_room",2020-10-31
"B",6,"economy_room",2020-11-01
"E",7,"double_room",2015-09-05
"E",7,"double_room",2015-09-06
"E",7,"double_room",2015-09-07
"E",7,"double_room",2015-09-08
"B",8,"double_room",2017-10-15
"B",8,"double_room",2017-10-16
"A",9,"economy_room",2020-05-19
"A",9,"economy_room",2020-05-20
"A",9,"economy_room",2020-05-21
"A",9,"economy_room",2020-05-22
"A",9,"economy_room",2020-05-23
"A",9,"economy_room",2020-05-24
"A",10,"single_room",2015-09-04
"A",10,"single_room",2015-09-05
"A",10,"single_room",2015-09-06
"A",11,"single_room",2017-04-21
"A",11,"single_room",2017-04-22
"A",11,"single_room",2017-04-23
"E",12,"single_room",2016-04-15
"E",12,"single_room",2016-04-16
"E",12,"single_room",2016-04-17
"E",12,"single_room",2016-04-18
"A",13,"single_room",2018-11-16
"A",13,"single_room",2018-11-17
"A",13,"single_room",2018-11-18
"A",13,"single_room",2018-11-19
"E",14,"single_room",2018-02-24
"E",14,"single_room",2018-02-25
"E",14,"single_room",2018-02-26
"E",14,"single_room",2018-02-27
"E",14,"single_room",2018-02-28
"E",14,"single_room",2018-03-01
"B",15,"single_room",2019-09-28
"B",15,"single_room",2019-09-29
"B",16,"single_room",2017-07-27
"B",16,"single_room",2017-07-28
"E",17,"economy_room",2019-03-17
"E",17,"economy_room",2019-03-18
"E",17,"economy_room",2019-03-19
"E",17,"economy_room",2019-03-20
"E",17,"economy_room",2019-03-21
"A",18,"single_room",2018-07-08
"A",18,"single_room",2018-07-09
